,Content
0,One of the most symbolic historically meaningful palaces of the country Superb access by public transportation and highly walkfriendly Youll feel a hyperreal serenity at this place which magically fades out the citys bustle and takes you back to the time
1,Would have put a five if the MMCA museum was opened But it was closed for renovations Overall a nice place to walk around and sit to enjoy the good weather we are having in Seoul now
2,I had an incredible day walking around the palace Its beautiful to see all the people in traditional dress to take pictures
3,Very nice palace in a huge space near center of Seoul Cheap entrance fee 1000 KRW Clean toilet
4,The entry tickets are only 1000 Won so its definitely worth a visit 1 Its open until late in the evening but if you get there past 1630 or 17 pm there are no english tour guides available And without a tour guide you cant visit one of the museums inside Fortunately the information signs for the different locations are also in English  2 A lot of the previous buildings of the palace area were destroyed You also cant enter any of the remaining ones  3 Definitely a spot to take great photos at 
5,This is a must visit location stunning and so wellmaintained artifacts and buildings so homy they hadhave underfloor heating you would like you could live there
6,I took a walk in Deoksugung palace There were many people taking pictures and there were foreigners and visitors wearing Korean traditional clothes There was also a space where I could appreciate works of art but I should take off my shoes to enter It felt more like a wellmaintained park than a palace
7,This is a very beautiful place to see A blend of history and nature surrounded by a great modern city
8,This is where history and modernity meet Inside the palace grounds are also Western architecture buildings In addition even the stone wall around it is famous and was featured in KDramas such as Goblin This palace also  holds a Changing of the Royal Guards Ceremony which is free of charge even passersby can watch it   This is near other tourist destinations such as Cheonggyecheon Stream and more So might as well fit this in your itinerary  Read more on my blog at sophiaorlanesblogwordpresscom  Note Went here in December 2019
9,Another great cultural institution in Seoul Loads of beautiful and interesting buildings well maintained
10,A beautiful and peaceful palace right across the city hall You can even see the changing of the guards for free at certain times everyday
11,CMMA museum has excellent history foe Art a must visit while in Korea
12,This is the smaller of the two palaces Deoksugung Palace offers a rich history of its protected grounds Beautifully maintained this Palace is a great place to bring the family
13,This place is so calm  peacefully I wanted to make meditation when i walking around
14,as a tourist you should definitely visit the palace  It is very beautiful and its design is similar to the Forbidden City in Beijing The changing of the guard that takes place at the gates of the palace is also very beautiful  it is definitely worth visiting there
15,A beautiful palace that is perfect if you do not have a ton of time but still want to see part of Koreas history
16,Traditional and modern palace in South Korea Othoniel was been there 
17,If you come during the changing of the guard then you can watch the changing ceremony and take pictures with the soldiers in uniform from the Joseon era
18,Its such a beautiful palace with plenty of areas to walk around Its not as big as some other palaces but its definately a place i recommend I went Wednesday not realizing that the last Wednesday of every month is Culture Day which means its free admission day
19,Historical area in the middle of modern architecture It was so amazing being there For me sunset is the best time to visit Deoksugung Be aware that the temple closes at 9 pm
20,Another option to visit when youre in Seoul They have a mini art exhibition at that time when I was there and it was fun to see the modern art with traditional background Over all the place was less crowded and good for an afternoon stroll Its a smaller area compared to the other palace so you wont find that much to explore here but it is still nice for a visit
21,Nice Tourist place since there are not so many tourist you can discover it more indepth and take a few pictures without them It is also very interesting since here not only the old style but also the new style is present This place is interesting because here the western and the eastern world came together
22,Yey for the free entrance on lunar new year They put classic Korean games inside where anyone is allowed to enjoy The temples like most of them were amazing to see One thing unique here is the stone buildings Make sure to visit the displays inside
23,Deoksugung Palace is virtually two palaces in onea Korean traditional complex blessed with numerous examples of lateJoseon palace architecture and a Westernstyle palace complex comple with two imposing neoclassical structures and Koreas first Westurnstyle garden
24,One of the most beautiful palaces in Seoul Also there is a national museum inside The spacious palace makes me feel calm and peaceful I could talk and walk much with my family with enjoying my countrys traditional buildings and views 
25,Its such a beautiful place I fully recommend going if youre ever in the area Its 1000 entry fee and you can spend however long you like there The juxtaposition between the old and the modern is amazing to see
26,Love this Deoksugung Palace that is in the heart of the city and a strong 5 Star to the management for preserving this heritage Amazing to see the old historical site and sight vs the new development side by side Thrilled to see the beautiful architectural design and structures of roofs rooms walls and buildings Great to witness the upkeep of tradition with the old costumes worn during their ceremony performed Love this place
27,An underrated historical sight in Seoul Perfect for a stroll Spring and autumn are the best periods to visit
28,For a different and peaceful experience visit this sight in the evening Theres practically no one around and the buildings take on a different character when illuminated with the light Absolutely stunning regardless what time of the day but extra Magical when you can enjoy at your leisure without the hordes of tourists
29,amazing place worth of spending 2 hours here even just walk around tradition shows take place every day and local guide Even most of the palace are burned into ashes the remains are still amazing Check wiki or whatever in your hand to explore the history of this site in advance
30,Interesting historical place to be visited in Seoul Located in the heart of Seoul you will find a little serenity in crowd You can look back and learn from the shades of Korean past life What makes this place unique is you can find the contrary view between Koreanstyle building opposite to European one But there is no prayer room provided here So its less visitor friendly especially for Muslims
31,Quite a small palace but the history behind it is interesting its very quiet and peaceful and only 1000 for a ticket so its very reasonable  We arrived just before 11am and they were doing the changing of the guard ceremony and afterwards there were photo opportunities with the guards  There was a great contrast between old and new architecture as well
32,Great spot in the heart of the city Despite its location it seems to be one of the least busy of the palaces in Seoul Its not as big as Changdeokgung or Gyeongbokgung but its very pretty and worth a visit Very peaceful place
33,It is always a classic for every cities around  the world to have the privilege of having a palace be it just a monument to a historical significance or otherwise  It will always has a drawing magnet for bringing tourists and even city residence to relax and feel a sense of tranquillity amidst the lush landscape both hard and soft
34,Maybe my favorite palace in Seoul Great memories of visits on October evenings 
35,This place is really fantastic There isnt only hanok a traditional Korean House there is also some English style buildings
36,One among five palaces in Seoul built by the kings of the Joseon Dynasty There are buildings in traditional Korean style but also National Museum of Modern and Contemporary Art I would recommend to see the change of guard
37,The only palace with western style architecture inside and a very interesting history You can also watch Changing of the Guards at the Daehanmun gates just outside at specific times of the day As with most sites in Seoul theyre closed on Mondays City Hall is just across the road and if you walk along the walls to the left facing of the gates you can reach the Blue House and some very weird statues too
38,Deoksugung also known as Gyeongungung Deoksugung Palace or Deoksu Palace is a walled compound of palaces in Seoul that was inhabited by members of Koreas royal family during the Joseon monarchy until the annexation of Korea by Japan in 1910 It is one of the Five Grand Palaces built by the kings of the Joseon Dynasty The buildings are of varying styles including some of natural cryptomeria wood painted wood and stucco Some buildings were built of stone to replicate western palatial structures  In addition to the traditional palace buildings there are also forested gardens a statue of King Sejong the Great and the National Museum of Art which holds special exhibitions The pathway along the palace fence is a beautiful treelined road including ginkgo trees and is famous for dating couples The palace is located near City Hall Station
39,This a more modern palace It opens more hours so you can go later in the afternoon
40,Smaller palace but more different rooms to see  Better than three nigh palace which has lots of buildings that all look the same and have nothing to see inside them  Its free to get in
41,A small palace considering its size but it also houses a British residence and an art museum within it All of them were pretty nice The British residency tour needs to be booked and the museum ticket is also charged separately
42,Costs 1000krw to get in or free if you wear the traditional clothing If you buy the multpass for 10000krw you get tickets for many more Very quiet and peaceful area to walk around and appreciate the buildings and gardens Has an art Musuem also which is 2000krw to enter Time it right and you will get to see the royal palace guard changing and get a photo with the guards
43,One of the Palaces in Seoul that opens till abit later than others Great place for scenic walks and photographs Entrance for 2 adults  2 child is only 3000Won Very relaxing place Recommended Take the public train only 4 mins walk
44,Let me just say the surrounding of the palace at fall time like this makes pretty pictures The palace is smaller than Gyeongbok and less famous Being less famous means less tourists here but its  still a pretty palace complex with buildings from different periods The one thing this palace has that others dont is the changing guard ceremony The one I saw took place at around 4 PM
45,a great place to spend an entire day relaxing or walking around while looking at beautiful historical buildings and various artmuseum exhibitsespecially during autumn when the colorful leaves are just stunning
46,The place is definitely worth visit You can sense the tradition there There is good information available for tourists about the history of the place
47,Very good palace  However the size is small compared to other places Deoksugung palace was first used by king seonjothe 14th king of the joseon dynasty  while he was in exile during the Japanese invasion of korea in 1592 when he used the house formerly occupied by the descendants of prince wolsan as a temporary palace
48,Nice palace Less crowded and good opportunity to know about Korean history in midst of city location Easy access via train Also worth a stroll around surrounding area to get a feel of day to day life of people 
49,Definitely worth stopping by on your way through the city center Beautiful Westernstyled garden an ideal place to relax in this big and rushed city
50,Beautifull place and full of history you can choose many photo spot because theres too many and all of them beautifull You can get free entry access if you use the traditional Korean costume
51,Very reasonable entrance fee Palace is small s ale and quite empty Mostly in Korean Not very interesting Im afraid The changing of guards at 2pm was nice Be careful of the protests outside the main gate Riot police too
52,Loved it Also I was fortunate enough to spectate ceremony of some kind which was super fancy and exciting At the end the guards gave everyone an opportunity to take a photo with them That was very cool
53,Lovely place with a mixture of European and Asian architecture Everyday there are guard performances right in front of the palace The palace is full of beautiful trees that bloom in the fall and spring which makes this palace even more beautiful I highly advise to join a guide who can tell you in detail the history of the palace
54,Few confusions while buying the entry tickets to the palace Price list says 1000 and 10000 wons for royal palace Which we thought it will be inside  But the ticket is to visit 4 palaces which is located around the city Anyhow the ticket is valid for 2 months so no worries Coming to the palace little disappointed for not having any info about the palace or buildings  We can read only msg Like do not enter Apart from that palace good nice and old Palace represents a mixture of Korean and western culture
55,Deoksugung is one of the Five Grand Palaces of the Joseon Dynasty located next to Seoul Plaza and City Hall in the city centre Note the palace is closed on Mondays  This palace served as the residence of the Royal family twice during late 16th century and then again at the turn of the 20th century providing well preserved buildings of traditional Korean and Western architecture  Here you will find a collection of traditional Korean style entrance gates lovely inner courtyards worship and residential halls pavilions and landscaping all quite similar to what you see at the much larger Gyeongbokgung and Changdeokgung Palaces You can also watch Changing of the Guards ceremonies here at Daehanmun Gate  Two unique inclusions at Deoksugung include the Western style buildings at Seogeodong Hall which was built in European style in 1910 and the adjacent building used to house the Museum of Modern and Contemporary Art MMCA  Deoksugung branch  One of the things we very much enjoyed about visiting Deoksugung during the autumn was the fantastic fall foliage display seen throughout the palace grounds There were numerous spots where we found multiple colours of tree leaves that made for lovely photographs The autumn scene here was considerably more impressive here than at other palace grounds visited during this trip to Seoul  We were however disappointed to find the MMCA Deoksugung Art Museum closed during the time of our visit There was no indicated closing on the MMCA or Deoksugung websites nor at the place entrance which was odd  Overall we quite enjoyed spending time at the Deoksugung Palace Not only was it exceptionally beautiful this time of year but we found it more management a place to visit compared to larger palace grounds around Seoul You can comfortably browse Deoksugung in 3045 minutes or longer if you want to visit more leisurely This is a very good and cheap attraction visit to consider making during trips to Seoul
56,Nice palace in the center of Seoul Its quite peculiar to see these historical buildings and behind skyscrapers Definitely worth the 1000  won
57,First temple that we visited when we got to Seoul so it was impressive to us Very calm place few tourists in the afternoon
58,Amazing palace grounds buildings  museum of modern Korean art  Grand history  Important to learn history  Enjoy the grounds  learn  Shop in the gift shop
59,A 1000 won per person entry Its a nice and peaceful area right at the heart of the city Saw the change of guards ceremony at 2 pm
60,A nice place for a walk Dropped in by chance since it was just next to were we were dropped off after a tour The 1000 won entrance fee is almost symbolic Despite this the grounds are well maintained
61,Nice to see one of the famous palaces Got there at the right time to see the guard changing ceremony The buildings were uniquely combined between traditional Korea and Western Admission fee very cheap only KRW1000 Very easy to acess from city hall station
62,Deoksugung Palace is unique among Korean palaces in having a modern seal and a western style garden and fountain Medieval and modern style architecture exist together in harmony The Changing of the Royal Guard in front of Daehanmun Gate is a popular event for many visitors Outside the palace is a picturesque road flanked by a stone wall
63,Pretty neat place to see One of the guards ws falling asleep lucky for him his shift was about over The kids dressed up and had a blast
64,deoksugung is traditionalmodern style palaces its nearby cityhall subway stationline2 green entrance fee is KRW2000per 1 adult if you visiting here in spring or autunm its definitely awesome
65,It was nice to see and worth a visit The modern art museum is also worth visiting It is in one of the buildings and now used as museum If the weather is good it is nice to sit and walk around
66,Small and underrenovation at a few zone An hour at this spot is just a right time Though the stonewall walk path is beautiful decorated from the palace
67,Deoksugung palace is unique among the many palaces i visited in korea because of the harmonious mixture of western and eastern architectures It is also best to experience the change of guards ceremony at around 23pm in the main gate although entrance may cost you around 1000 won
68,The whole area is amazing I recommend to take a guide or the audioguide at least or will be almost impossible to understand what the various buildings are If you plan to see the change of the guard wait for warm months During winter they may not do it
69,Beautiful beautiful palace Continued restoration and recovery work makes this place even more meaningful You can see change of the guards at specific times Also walk along the stone wall outside of the place is wonderful activity to do
70,Deoksugung located in front of Seoul Plaza or Seoul City Hall If you come from Gyeongbokgung Palace just go straight to King Saejong Statue go straight again if you reach the iconic shell in Chongyechon stream and still keep walking straight to reach the Deoksugung Palace Small Palace but beautiful Korean traditional building and western building built here Also there are free guard changing ceremony in the gate The changing ceremony is different from other Palace There are some action here The guard fight like in the movies or drama And they came from a road beside The Deoksugung Small member of guard but good to watch If u visit when fall season time just go to the street beside The Deoksugung Palace its Jeongdong street Beautiful fall season leafs all along the street Also there a Jeongdong Theater a traditional live show performance that always awesome and worth to watch
71,Interesting and worth the visit Traditional palace side by side modern buildings yet keeping its elegance and grandeur  Within the palace ground royal architecture and a western styled building which is the musuem harmonise nicely to add reverence to the whole place Beautiful garden with autumn foliage
72,Beautiful scenery of absorbing Korean culture If your lucky enough like me youll get to see some Korean performance A band performed some Korean songs remixed with Korean folks style Amazing The crowded loved it both young and old
73,Very nice Old KoreanChinese architecture Big enough to spend an hour or two here There is a regular performance outside the front entrance for visitors to see
74,You may spend 23hours just exploring the place 1000 won fee is worth it Not as crowded as changdeokgung palace
75,You must go and see this beautiful palace
76,The smallest of all palaces in Seoul but definitely my favorite The stonewall walkway looks amazing in autumn
77,Went during winter period Really cold Most of the things are closed or dried up Probably should come during spring or summer season would be a better choice
78,Beautiful place must visit in Autumn as trees look really pretty
79,Easy to get to next to City Hall Basically free 1000 KW and quick to visit On certain dates and times you can try a Hanbok
80,Its a simple palace but still has a stunning interior Its worth to visit when compared with the entrance fee that its just 1000 KRW
81,Small but worth visiting Very few people and low cost for ticket 1000won for an adult
82,I was deeply impressed by the architecture as I am a huge fan of asian style buildings Make sure to not miss the guard change as this is a big part of the experience
83,This is truly a beautiful sight to see in Korea Unlike the other famous palaces this one is located in the heart of Seoul just down the street from city hall From within the palace grounds you can look around and see the modern buildings 
84,One of Royal palaces in Seoul maybe smallest one But also much less tourists also guard change ceremony Nice place to chill
85,Awesome place to visit for Korean culture Dont miss the changing of the guard ceremonies at 11am 1pm 2pm and 330pm
86,It was neat Went into the art exhibit as well to take a look at the culture of Korea through the ages Great place to take a stroll through if youre in the citt centre or Myeongdong area
87,I really love this place Especailly at night I was taken narration service And it was really good i didnt much about this palace but i now know little bit since i heard that 
88,Nice place if you have historical interest as well as good views It is rather small so wont take too long for you to look around However it is still very nice placeorpalace lol 
89,I went to this area with two of my friends from Indonesia Firstly we enter the Seoul Museum nearby the Palace and then we take a walk until we reach the Deoksugung Palace Like other palace in South Korea the architecture of this palace 
90,Beautifully restored historic buildings and museum  Perfect for a morning walk and very inexpensive to enter
91,Small but nice palace to visit while there make sure to check out the changing  of the guards ceremony
92,The place is beautiful with information boards in foreign languages whhich is very useful to foreigners trying to learn about Korean history
93,Nice park setting for the old buildings most of which date from the early 20th c The western style museum apparently requires prebooking on the palace website
94,Saw their changing guard ceremony at 2 PM really nice to find out this kind of culture
95,Best to visit at 9AM since there are very few people in the palace and you can pose your heart out 
96,Nice Temple Cost 1000Won entry which is very fair Not to big place but worth to see
97,Really awsome many traditional buildings events and views are lovely make sure to arrive early its a big walk around
98,Went here to take some engagement photos Love the charm of the palace buildings and there are some great cafes nearby
99,Great historical palace and gardens  watch the changing of the guard at 2pm everyday explained in English
100,Nice palace but quite small Musical performances inside
101,It is a very nice place to visit traveling time is about 3 hours Recommended
102,Entrance fee is 1000 wons Its worth visiting and really easy to access
103,Beautiful place for a very fair entrance fee of less than 1 EUR
104,Come this place on wednesday and there is free entrance At 12pm of every day there is demonstration of change shift by the imperial security guard U will have a chance to get a good photo session with them The unique western white 
105,Very peaceful and beautiful place Free traditional Korean cloth experience is available at the entrance
106,Historical and very well preserved Although smaller than the other palaces this place is charming The changing of the guards happens twice a day we went at 11 and they allow 
107,Great colorful place to see Korean history  Especially love the changing of the guards ceremony
108,If you wanna see the full scene of this palace left side buildingseoul city hall west annex would be great Its free and there are a lot of chairs
109,The drawing point is probably the changing of guards parade You need a guide to explain the history of the palace for it make to sense Its the smallest palace among all that are in Seoul
110,Visit this palace it is smaller than the main one in Seoul But it is worth a visit There are free tours in English and there is a museum of modern Korean art inside the palace
111,Historical place if you only have time for one palace This is small enough to get through in an hour or so You can get beautiful pics Right outside theres a nice coffee and waffle stand that sells amazing watermelon juice
112,A nice palace complex in the middle of the city Its free on public holidays
113,Cheap and accessible attraction in the heart of the city There is a museum of modern art inside which costs extra
114,I went to this palace around November This is the Top view from 13th fl Jeongdong observatory on Seosomun Building 1 It was very beautiful place
115,Very nice palace well preserved in the middle of the city
116,Cultural gemstones hidden within the city  Must see stop right across from City Hall
117,Beautiful palace with full of blossom cherry trees Not so many people here so i have lot of time to take picture haha
118,               Deoksugung Palace is a very good place Seoul is often stuffy boring and hard times Deoksugung Palace is a rest spot in this part of Seoul If you visit Seoul I recommend you to visit Deoksugung Palace Gyeongbokgung Palace and Changgyeong Palace These palaces will add something special to your memory Deoksugung Palace Museum of Art is located inside Deoksugung Palace So to visit Deoksugung Palace Museum of Art you must purchase a ticket to enter Deoksugung Palace
119,Smaller then the other one but still very beautiful and u arrived randomly during the guard swap it is quite interesting
120,A beautiful historical place in the heart of Seoul near the City Hall an island of tranquility in a large city
121,Very unique historical sites Middle of city
122,Recommend guided night tour  
123,the best place to go to is Korea Deoksugung place its the nice places they
124,Went during the change of the royal guard Learned a bit about Korean history A lot of effort has been put for this performance Truly entertaining and educational
125,Beautiful palace in Seoul Not as big magnificent auburn color during autumn Come at last Wednesday of the month Its free entry
126,Entrance fee 1k but less tourist Worth the money for photo shooting
127,Full on changing of the guard Get there early to have the whole palace grounds to yourself then pop back to the entrance to watch the guards at 1100am
128,Nice atmosphere and you feel the history at the heart of Seoul
129,The walk around the outside is great especially in the autumn
130,Its when old lives amongbthe new The palace is located just near City hall where modern hotels are nearby but never overshadow how beautiful simple and elegant the palace buildings were Lots of history for Jaeson dynasty and newer buildings with British architecture Seoul mosu visit
131,Local cafe spot Nice view from 13th floor U can view the whole palace whilr enjoying your hot coffee Super beautiful They have the best latte and caramel macchiato too
132,It was nice to learn more about the history of Korea It was cheap and a nice way to spend a few hours
133,Quiet palace so peaceful and relaxing There is korean traditional games and beautiful trees throughout the seasons Love it here
134,in March the cherry blossom still not fully blooming
135,Nice place Should be visiting
136,great place to go for feew hours best in spring or summer
