,Content
314,its a beautiful place with lots of trees and unique architectures enjoy traditional marching event around noon
315,Change of guard ceremony is great Timings are 11am 2pm and 330pm Closed on Mondays Close to railway station As usual public transport in Seoul is superb
316,Small but precious due to the art museum
317,Deoksugung also known as Gyeongungung Deoksugung Palace or Deoksu Palace is a walled compound of palaces in Seoul that was inhabited by members of Koreas royal family during the Joseon monarchy until the annexation of Korea by Japan in 1910 It is one of the Five Grand Palaces built by the kings of the Joseon Dynasty1 The buildings are of varying styles including some of natural cryptomeria woodcitation needed painted wood and stucco Some buildings were built of stone to replicate western palatial structures
318,I just finalized the three palaces for the Royal Family They were all awsome being restored after the Japanese invasion at least you will find the richness of culture at that times
319,Minor Palace but it is cozy place to visit
320,One of Seouls grand palaces Quite interesting to observe the changing of the guards ceremony Walked the stonewall road  and enjoyed a very unique atmosphere
321,The change of Royal Guards is not to be missed It happens at the main entrance of the palace and no fee is required You do however need to pay a small fee to enter the palace
322,Not top Many tourists a more chill atmosphere compared to other palaces Here different styles clash in an interesting way
323,This palace has own real name Kyeongun  There is a story that Deoksu became its name I recommend walking with palace guideonly possible time In the palace there is a museum National Museum of Modern and Contemporary ArtKorea Seokjojeon is renaissance style architecture There are 1910s goods which were used by royals But you have to get a reservation to get in Seokjojeon
324,Touristy  people dressed in Chosunera dress demonstrating various court activities that would have occurred hundreds of years ago including the receiving of emissariesnotices and changing of the guards It makes a lot of noise and I suppose is worth a few photos but becomes a nuisance to those who work nearby
325,True beautiful place around the skyscrapers Right near seoul city hall and galleries you can take a rest in this calm and neat nature
326,It is a smaller palace but what is great about it is the guard change ceremony which is really impressive and colorful and also has explanations is several languages You can also try on a guard costume
327,If you want to visit Deoksugung or the other palace I highly recommend you to visit it with a free guide Its a really nice experience and you learn a lot about the life of kings and queens who lived there
328,I posted photos of the wrong place
329,Smaller than you would see in China or some of the other countries but very colorful and impressive nonetheless Much rich long history in such a small place
330,The palace guard ceremony was very nice and can even take pictures I rate the place 5 stars It was a nice experience
331,Quaint small palace right next to city Hall Definitely worth the detour if you pass by there Ii went in the spring but it must be stunning in the winter as well
332,Extensive complex of mainly single storey dwellings rather predictably of crude timber working and even less finesse in the connecting courtyard stone slabs These being extremely rough and uneven serving as a reminder of how prudent one was in taking travel insurance Trekking shoes a must Intricate painted patterns and motifs related to the past culture worked in the interior ceilings and external buttresses executed with low durability paintwater based   Exhausting walk of much the same No evidence of cavalry stabling or food growing patch  Alleviated by enormous GrecoRoman stone buiding by western know how and furnished by Maples of Londonat the time the global source for opulent furnishings The building itself is not open to the public just a basement section on Daehan Empire  Adjacent is another western building requiring ascending steep shallow stone steps to enter National Museum of Modern and Contemporary Artyet anotherDeoksugung location Here an interesting collection The Arrival of New Women  early 20th C pioneering artists both visual and performance surprisingly mainly trained in Japan during the occupation years and some fled to Shanghai or the then Soviet Russia Some very endearing phonograph songs  Take note the scale of Seoul is enormous and the walk back to the metro stop City Hall can be agonising   more anon  ngmingsphere
333,One of the big 5 old palaces in capital city of Seoul that has been existing for more than 600 years since Chosun Dynastys foundation in 1392 right after the collapse of  Koryo Kingdom that same year DUCKSU Palace is located just across the street from Seoul City Hall and also from the Plaza Hotel Seoul The sight you should never fail to see is the changing ceremony of royal guards that takes place in front of the main gate at 12 oclock noon from Monday to Friday
334,Rather nice palace despite its small size the palace walls are a great photo spot especially for those who have watched Goblin
335,History in the heart of modern Seoul
336,Its a magical place There are less tourists than near the larger palaces but its almost equally nice
337,Peaceful open space in the middle of Seoul Mix of old and 20C buildings including art gallery which on my visit had a show of Egyptian modern art
338,good palace for a walk in city
339,One of the best historic destination in Seoul which was combined between Western and Eastern designed It is located near City Hall subway station
340,Good historical place to visit
341,Peaceful place in Seoul with monks and Buddhist people We feel free there expect when foreigners take not discrete pictures
342,A must visit in seoul
343,I recommend a guided tour to get the most out of all information It was excellent to understand the British influence of how palace was built and mixed with Korean culture
344,A more parklike palace in Seoul Always wonderful for picnic and chilling except for Saturday too loud protests right outside
345,This autumn is so beautiful It was absolutely amazing this weekend to visit Deoksugung palace
346,Lovely Palace
347,Free events Occurs three times a day at 12 2pm and 330pm  The ceremony lasts about 15 to 20 minutes with the last 5 minutes reserved for taking photos with the guard  Will need to arrive at least 5 minutes before it starts
348,Nice tempel The have parade few times a days tourist can take picture with the gardes It is more like Disneyland It is funny
349,Beautiful palace close to the city hall One of the few palaces with opening hours in the evening which makes an excellent place to walk by sunset
350,There was lots to see It had a vary calming and quite atmosphere
351,Great place Even historical place of one countrys faded fate its beauty and meaning of history is remain in mind if you try to understand situation of those era
352,I had a great time here I can feel all the scents of Spring and the color This js good place to walk
353,Nice little palace at a super convenient location Plus some showsguards etc But not the most impressive one or the most authentic for a deeper Korean experience
354,1 You get to take pictures with the guards at the end of the ceremony Some people rush in but generally everyone gets an opportunity 2 You can reenter the palace grounds after the ceremony
355,Kings palace in the city
356,Very good place  
357,Located at the corner of Seouls busiest downtown intersection Deoksugung Palace is famous for its elegant stonewall road It is also the only palace that sits alongside a series of western style buildings that add to the uniqueness of the surrounding scenery Deoksugung Palace originally belonged to Wolsandaegun 14541488 the older brother of King Seongjong 14691494 of the Joseon Dynasty It became a proper palace when Gwanghaegun 15751641 ascended to the throne and gave this royal residence the name Gyeongungung Palace in 1611 Over the following decades the palace alternated between being an official palace and a temporary residence The name did not official change to Deoksugung Palace meaning the palace of virtuous longevity until 1907 While the palace incompassed a vast area with many buildings the current palace grounds are just a small shadow of the prior splendor with very few structures remaining
358,Nice palace which you can access directly from the city centre just in front of the main place There is also a nice museum inside
359,Rather small but really beautiful
360,Museum art with historical place is awesome to look around  Cheap entrance fee  and very nice to take a walk
361,Very traditional palace But it was burnt by Japanese during their rule One of icons of South Korea Dont miss if you are interested in history
362,Must visit in this weather
363,Good place to visit and see
364,Happy New Year Seoul 
365,A must visit palace Small palace but better than Gyeongbok palace in Gwanghwamun If you are interested in 18901930 this is the one
366,Its one of the important places for not only Korean but foreign   to find out the evidences of koreans culture and ancestors so Id like to recommend going there
367,Loved it Right in the city hall
368,Its a place that makes you feel like you are in ancient Korea The interesting thing is that I actually saw mostly Koreans which made the place feel authentic
369,Amazing Look for the free tour guides at the entrance They are teenagers doing community service very friendly and helpful the tour last for 45 min
370,Very beautiful palace Its a nice walk around and very open If youre looking for a smaller palace to explore this is the one
371,Traditional palace in the middle of the city It was not crowded and it gets you exposed to the Korean architectural history
372,Very beautiful Prices were decent and it was fascinating to immerse ourselves into the ancient history of Korean emperors and royalty
373,Beautiful Palace  If you visit here I recommend you visit the observatory cafe at City Hall Seomsan Building The view is spectacular
374,It was the last Wednesday of the month when we got there And the surprise is  getting into hanbok was free so we all wore one and had a photo with the guards
375,Favorite palace of all Seoul palaces small and versatile Pay attention to the tea pavillion Jeonggwanheon in the rear garden of the palace build in 1900
376,Love this palace among all the palaces located in seoul Very traditional and not crowded like the other palaces
377,Cozy and lovely palace with art gallery inside If you are in the cetral Seoul with some interests in art a must place to visit
378,recommended if you go to Seoul
379,Quite place  Nice for a walk
380,good palace historical place
381,One of the best place to visit in Seoul
382,Just next to national museum and among the biggest fort 
383,I love all the palaces in Korea but the best one to me is this one Deoksugung  Deoksupalace I recommand you to spend at least half a day and take your time by walking along the long walls of Deoksugung
384,It is cultural day when we visit here and it is free We are able to watch the guards changing shift too
385,Nice historical palace
386,Peaceful place interesting history and architecture Very easy access and changing of the guard ceremony is worth a look
387,Nice place to walk around especially in Spring and Fall season Also there is a guided tour for tourist Come and walk around
388,This is a gem Definitely recommend
389,Located at the across the Seoul city hall Smaller than Gyeongbokgung but here has Baroquestyle Seokjojeon architecture which style is hard to see in Seoul
390,We waited for the free guides tour in english which took 70min Was worth hearing about the history and the guide was super friendly
391,Interesting colorful panels at night
392,The palace is not too big to walk around and very pleasant to see garden  building
393,Lucky to stumble on an event at the entrance of Deoksugung Also had a very informative tour in English for free by two very friendly Korean teens
394,Quiet escape from the cities noise
395,If you visit Seoul you have to visit this place Cheap amazing and modern Definitely to go
396,Spring of Ducksugung palace
397,Nice area with some art as well who fit good with the old temple situated in the center of the city
398,Come here for romantic walk on autumn
399,Beautiful temples cheap price
400,Very good
401,One nice place in seoul
402,Our English guide did a superb job telling us the tragedies of the Royal family In the palace where the princess spent her happy moments and where the king spent his last days
403,a must see if you are around city hall
404,Harmonize east and west style of architecture
405,We can see ceremony of change the guardian
406,Smaller palace grounds that also contain 2 1920 Western inspired imperial Halls
407,Changing of Palace Guardsolemn but interesting
408,A glimpse at Korean history Very royal indeed
409,Beautiful place I recommend visiting The structure and history is well worth learning about and the area that surrounds it is friendly with lots to do
410,Changing of the guard ceremony is a must  see Spend time to explore the ground and near other attractions
411,Great spot to see Korea dynasty
412,Korean history and palaces
413,Great palace walk in the heart of the city Gf old explanation signs but I think an audio guide or a guided visit would be better
414,It is a great place with many interesting old and new buildings It is also the only historic place that closes after 5pm
415,this palace is in the tall buildings this harmony is very awesome and i recommend u to visit on autumn
416,Its closed for restoration but we were not informed in the official visit Korea website Many like me who travelled there to only manage to get to their front entrance
417,Really nice place to visit this fortress also has some more western type of buildings which makes it more interesting to visit
418,I would said its smaller but calmer than gyeongbokgung it was summer when i came the trees are so green
419,Great place for taking pictures
420,Amazing place Like a time traveling to ancient Korea
421,nice heritage in korea
422,It is situated in the heart of the city From inside you can see the palace with modern buildings in the background
423,Many styles in obe palace and a very nice obeservatory for watching the palace turn dark with lighting everywhere in the evening
424,Make sure you visit the main entrance at 1100 or 1400 or 1530 They have traditional trade going at these times
425,Must go
426,Good palace very good for a look at the buildings since it is not so crowded Try to get there for the change of the guards at the front gate
427,I like
428,Must watch the guqrd changing ceremony at 11am Plus the surrounding area is beautiful
429,Its a great place that I think you should visit when you are in seoul  Its beautiful and interesting and when you plan you trip is this place a must see
430,They have the first westernized buildings in this palace You can feel the mixture between traditional korean and western here
431,Pretty cool palace  East meets west  Really cool to catch the royal reception of foreign diplomats reenactment
432,Nice palace to witness Korean culture and history Nearby museums are worth visiting
433,Very cool traditional style temples mixed with a more modern style museums inside
434,Look out for public performances and guard changing
435,goodplace
436,I love the way the protecting to the heritage
437,Pretty place to see Worth going just to see the exterior Seoul is worth every minute you can spend there
438,Amazing site Plan to spend some time there because of the tours and the museum
439,Excellent place to enjoy Korean style palace
440,Very nice place to visit Old historic wooden palace in the heart of seoul
441,Stunning views
442,Near city hall Good place to learn Korean history  Dont  visit on weekend 
443,Awesome small visit in Seoul Didnt take up too much time and it was free to enter
444,This palace is open late unlike the other palaces until 9pm You can go here to see a nightview of the palace buildings
445,Cultural historical place We really enjoyed the guard changing ceremony It looks like something from the movie
446,Excellent place to visit
447,2nd last king stayed and proclaimed the Great Empire in 1897 to make a new order over Korea It is in Seoul
448,Phenomenal experience If you visit Seoul for a short while only this is a MUST DO
449,Nice quiet palace in the crowded centre of Seoul Also a change of guards which can be watched close by
450,Friendly student offered a free tour guide Very educational and beautiful architecture
451,The sun was kissed me
452,Nice place Ought to have 5 stars but visited while some parts under renovation
453,Peaceful area with a nice gallery inside
454,Truly beautiful place
455,The ancient guard mounting is free and visitors could get close to take pictures with the performers
456,It is a palace among Chosan dynastys remains and small but beautiful
457,Tells you a lot about the architect about that period of time The art museum in the palace must be seen
458,Do not miss a visit It is unique and open also in the evening last enter 8 pm
459,Its surreal how a traditional western building is placed inside a traditional korean palace inside a busy city
460,A really nice place even at night good for taking pictures 
461,Deoksugung is a smaller palace but is a wonderful place to take a walk and explore the old buildings
462,Small but nice strange to see 2 giant western style buildings in de palace
463,Quiet walk way with beautiful stoned walls and well kept garden for all to enjoy
464,Another Palace attraction for photo taking Look out for the guard changing ceremony timing
465,Palace not big but close to city centre The demostration show is held quite frequently at the main entrance
466,Near Seoul city hall and with guard changing during lunch and at scheduled interval with coffee and souvenir shop inside the park 
467,A relative small one as compared to others
468,Went there to watch guard change at 11am Nice Let you take pictures with guard after that
469,Palace located in the middle of Seoul nice historic place can visit in any season
470,Right in middle of one of Seouls busiest business districts and across from nearly new City Hall amazing architecture and tradition
471,Must be done during a guided visit to appreciate the beauty and the history beyond every building
472,One of the beautiful palaces in Seoul
473,Very very good
474,Nice palace in middle of centre of Seoul Cool with the change of guard qnd cheap to visit
475,Definitely worth the visit  Be sure to see the other places in the area as well
476,The ancient enough to rethink the modern royal family is a part of a cake for baking it well
477,A good place to visit fir the history Join the free tour guide if time permits
478,Really cool place only 1000w to get in Quick walk around to see the place
479,The place is beautiful and very cozy during the day Lots of view around the businessndistrict
480,If youre more of a person if the past and appreciate old structures youll definitely like this place
481,Still sad cause I met a wonderful girl there and Im sure that Ill never see her again 
482,Amazing place situated in heart of Seoul 
483,Beautiful place And National Museum of Contemporary and Modern art in it
484,Optional spot not much to see here
485,A very nice palace to walk around It also has a museum in the back
486,Incredible complex with beatiful Gardens
487,Good place for hangout There are many fast food chain and close to the Deoksugung Palace
488,Historical site
489,Beautiful entrance garden Not very crowded either which was nice
490,One of the must visit places in Seoul There are also other attractions nearby
491,The best place that you can feel korea history from 1890 to 1910
492,Small palace open late has art exhibits good cheap date spot
493,U can enjoy the peace in the middle of the city
494,It is amazing to find this historical building in the middle of the buzy life of Seoul
495,One of the beautiful palaces of seoul You should definitely pay this one a short visit
496,Very beautiful palace with lots of amazing decorations a place everyone should visit
497,Not much to see and this is coming from a Korean history lover but I guess it could be pretty tranquil if youre looking for that
498,Good place to visit although it is smaller than the royal palace
499,Cool but very little place The staff are very polite and accommodating 
500,Good place to walk around the stream After you have seen the Palace
501,Good
502,good view
503,This place is beautiful
504,Good place to take a rest
505,It is famous historical place and very easy to access from downtown
506,Nice place Tourist friendly beautiful scenery and wonderful performance
507,Very pretty place free on the last Wednesday of each month
508,This place is historical place with nice entertainment place nice for pictures Enterance fee 1000won
509,My favorite place to relax in Seoul It is opened through all evening
510,Smaller than the other palaces in Seoul but still has its own uniqueness
511,A good place to find calm and peach which is very contrast with what happens outside the palace
512,Nice and peaceful place
513,very beautiful especially at night Entry fee is like  1
514,if you are new in seoul it is perfect place to start your trip
515,A different kind of experience
516,Worth the visit Low key and easy to navigate on your own
517,Very big We spent nearly two hours there
518,Historic landmark with modern skyscraper in the background right in the center of Seoul
519,Worth a casual walk and appreciate parts of history during the Joseon period
520,Very nice place Guard change ceremony at 1100 and 1400
521,Scenic historical place Some people took their wedding pics there
522,Great place to visit take your time a d enjoy it
523,Here is awesome place in Seoul Just go and enjoy enough
524,Its always so wonderful to visit here with friends
525,Great and regal
526,You can see the performence that people in uniform which is traditional in Chosun dynasty
527,Beautiful palace Great to go for a nice walk and learn about Korean history
528,Small palace but  it  is  best  place to walk
529,Beautiful palace
530,Smaller than the main palace but a beautiful charming place nevertheless
531,Loved the castle its beautiful to visit really worth a stop
532,Small palace Some architecture Nice small yard with some pretty trees
533,1000  to enter and the palace is beautiful
534,So peaceful and beautiful
535,A beautiful palace I enjoyed watching the changing of the guards at 2pm
536,Nice park But its quite small scale
537,Nice serene walks here Not as busy as other palaces
538,Great place to experience the ancient Hanyang and Joseon dynasty
539,Small but better than Huge chinese palace
540,This place gives u such a nice view with decent korean tradiotional palace
541,The last Emperors Palais
542,Very nice ancient park To be visited once in the life
543,Lovely place escpecially spring
544,Palace of Chosun Dynasty Good place to visit in Seoul tour
545,One of best place in S Korea It has old and new of our country
546,Place near my office  other palaces in Seoul more interesting
547,Historical place
548,You can feel the beauty of Korea Its exotic place
549,palace in modern city
550,Great place to walk all the way from DuksuGung to Kwanghwamun
551,An historical building right in the heart of the CBD which makes it pretty unique
552,Nice garden but not far are biger and more impressive ones
553,Not get a time to enjoy the view because of rain One time watchable
554,Small but lovely atmosphere in the center of city
555,One of most face and beautiful Palace in Korea
556,Must go at night Traditional place with surrounding modern buildings
557,A beautiful Korean treasure Must visit Really recommended
558,Loved visiting the Palace gardens are so pretty
559,Interesting Palace Guard Shift Change performance The scenery was amazing
560,Must visit place
561,Price is right  relaxing stop  perfect getaway from the bustle of Seoul
562,One of the best walk along the stone wall in downtown Seoul
563,wonderful everything is lovely its a great way to spend a few hours
564,The cherry blossoms were blooming  it was a great day
565,Good
566,Real nice and beautiful but there is not alot of english explanation
567,Beautiful and extensive palace complex  well worth visiting
568,Wonderful place to experience Korean traditional architecture
569,Beautiful
570,Calm lovely place
571,a nice palace
572,beautiful palace different colors and different features in 4 seasons
573,Beautiful trees but sadly surrounded by skyscrapers
574,Nice palace Free entry on last Wed of every month
575,Very good
576,Palace in the middle of Seoul
577,Must visit here
578,join the tour Best time to visit in morning
579,What a cute and quaint palace in the middle of busy downtown Seoul
580,Historical palace right in the city of Seoul
581,Intersting ceremony Guard changing at 2 and 3PM it is free
582,Nice palace in the center of Seoul with changing guards
583,GOOD
584,Really teach us history and great place for tourist
585,Nice historical legacy A must see for visitors
586,Old  New together
587,currently most of the building are closed for renovation
588,Combination of Korean and Western construction
589,Nice historic place museum has interesting information
590,One of my favourite places in Seoul  With Biwon
591,Nice palace tour Recommend to visit in afternoon
592,One of my favorite place to hang out with friends
593,Always great place to see Enjoy
594,Its a worthy traditional place in Seoul city
595,This is where I really enjoyed and appreciate in Seoul  Very nice
596,Peaceful place
597,Beautiful palace Must go
598,Know a little bit of Korean history and touch the perhaps millennial old palaces
599,it is the best season to enjoy this street
600,Surprisingly silent and peaceful experience though in the middle of city
601,Beautiful and scenic getaway if you are in the area
602,Nice palace More modern than the others
603,I like this palace Its a different pretty than kyungbok palace
604,I love historical places
605,Good place to visitand it only costs 1000 won
606,Cute small palace that will not take a long time to visit
607,Placed right in the centre of city yet carries the history of Seouls past
608,A Nice Korean traditional place in the centre of downtown Seoul
609,Extremely busy during chuseok But beautiful
610,Very relaxing place to stay in the middle of the city
611,It was very hot but also beautiful 1010
612,just great
613,Very nice palace
614,Beautiful ancient palace Well kept up
615,Has a nice cafe where you can relax by a pond
616,Do take the audio guide and dont miss the changing of the guards ceremony
617,Korea history in one palace
618,The modern Korean art museum inside is excellent
619,I place for walk and look a beautiful views
620,Nice place looks really beautiful with a bit of snow
621,Well worth the 1000 Won admission price
622,Wait until the end of the changing of the guard ceremony to get up close pictures
623,The palace tells the story of falling down last dynastyJosun
624,Remember to stay for the traditional show thats free at the entrance
625,Good place to gomust visit in seoul city
626,Its a historical place of korea
627,Nice palace  Other are lavished and in close proximity
628,Nice visit when youre roaming the streets of Seoul
629,Great place to be The Story of a great Korean Dinasty
630,A must place to visit
631,Historical palace Every tourist must go at night
632,Beautiful place enjoyed my vacation in South Korea
633,Palace with changing guard ceremony
634,Great temple in Seoul but closed on tuesday
635,Goooooood
636,Nice place to visit and understand Korea history
637,Great place to know Korean History XIXXX centuries
638,nice palace but noting to see just a popular place in souel
639,Cool area with I Seoul sign to take pics with
640,Imperial Palace at the heart of Seoul Highly recommended
641,Worthwhile to take a walk around the grounds
642,A very interesting palace combining different architecture styles
643,Accurately reconstructed palace from the Joseon Kingdom
644,Its a beautiful place of its own experience
645,Great place to learn about Korean culture and history 
646,Awesome place exciting experience nice cherry blossom
647,Really beautiful and calm at night
648,Fun place to visit went on a school trip
649,I could see the inside of palace where the king of the Korean Empire lived
