,번역
0,그것은 거대한 궁전이 아니므로 일부 지역에서는 혼잡하지 않으면 매우 아늑하다고 느낄 수 있습니다. 서두르지 않는 것이 좋습니다. 그래야 더 잘 즐길 수 있습니다. 세부 사항이 특별하므로 골목과 좁은 문을 탐험하는 것을 두려워하지 마십시오.
1,다른 궁전만큼 크지는 않지만 걸을 수 있는 공간이 많은 아름다운 궁전입니다. 확실히 추천하는 곳입니다. 매월 마지막 수요일이 문화의 날이라는 사실을 깨닫지 못한 채 수요일에 갔습니다. 이는 무료 입장일을 의미합니다.
2,조용한 궁궐입니다 꼭 가보세요 덕수궁 돌담길 주변도 너무 예뻐요
3,현대 건축의 한가운데에있는 역사적인 지역 나에게 거기에 있다는 것이 너무 놀랍습니다. 일몰은 덕수궁을 방문하기에 가장 좋은 시간입니다. 사원은 오후 9시에 문을 닫습니다.
4,인접한 시청은 이 사원 외부의 본궁에서 길을 따라 내려가면 덕수궁 사원이 있습니다. 내부에 들어가면 이 사원 부지가 처음보다 더 크다는 것을 알 수 있습니다. 카페 선물 가게와 함께 나타납니다. 숲이 우거진 야생의 길 의회 건물 미술관 사원 부지 건물과 많은 대형 예술 설치 한국 공휴일에 도착하면 사원은 무료 입장이 가능합니다. 그렇지 않으면 입장료를 지불해야 합니다. 사람들이 오아시스처럼 주변 도시 거리에서 거의 숨겨져있는 것처럼 보이는이 작은 지역은 사람들이 와서 휴식을 취하거나 예술사에 대해 배우거나 심지어 약간의 운동을 할 수 있는 서울의 복잡한 거리에서 벗어나 이 사원을 방문하는 것이 좋습니다. 도시를 돌아다니는 길에 약간의 시간을 허비하더라도
5,이것은 흥미롭게도 덕수궁의 첫 번째 셀프 투어였습니다. 다음 며칠 동안 입장료가 면제되었습니다. 우리는 운이 좋았습니다. 우리는 또한 궁전 바로 밖에서 많은 한국인과 우리 깃발을 목격했습니다. 궁전 땅은 아주 헐벗고 갈색입니다. 겨울이 가장 좋아 보이지는 않습니다. 흥미로운 것은 전시되어 있는 몇 가지 고대 스포츠를 플레이하는 것이었고 우리는 고대 게임을 최대한 활용했습니다. 궁전에는 전통 한국과 식민지 스타일의 건축이 법과 흥미로운 혼합되어 있습니다. 분수 지역은 정말 멋지게 보이고 예술 박물관은 어린이 전시회에는 지루하지만 꽤 흥미롭습니다. 방문할 가치가 있는 추운 선선한 겨울 날 태양이 밝게 빛나고 있기 때문에 외출하기 좋은 날이었습니다.
6,이것은 아마도 서울에서 가장 작은 궁전 일 것입니다. 그러나 당신이 거기에가는 것은 왕실 근위대 의식의 변경이 게이트 바로 밖에서 이루어지기 때문에 무료 의식이 오전 11시 오후 2시와 330시에 열리므로 1015분 전에 거기에 있어야 합니다. 코르돈 뒤의 좋은 장소 그들은 당신에게 성 안으로 들어갈 때 그들과 함께 사진을 찍을 시간을줍니다 한빅을 착용하지 않으면 1000 원 청소년 500 원을 지불해야합니다. 우리가 방문했을 때 일부 지역은 보수 공사 중이었습니다. 궁전 주변을 걸어야합니다. 그리고 그들의 돌담에서 사진을 찍습니다.
7,"각 왕조의 궁궐이 일대에 펼쳐져 있는 거대한 궁궐의 암벽과 흥미로운 궁궐의 역사, 정문에서 열리는 멋진 근위병 교대식도 있어 시청과 함께 도보 여행을 한다면 꼭 가볼만한 곳 예술 박물관 대통령 궁 시내와 인사동 하루 궁궐 입장권은 확실히 저렴하고 12 시간 도보 가치가 있습니다"
8,작은 지역의 경우 사이트에는 방문할 흥미로운 건물이 놀라울 정도로 많고 밤에는 아름답게 조명이 켜집니다.
9,우리는 시간이 조금 있었고 방문하는 것이 저렴한 지역에 있었기 때문에 방문했습니다. 다른 궁전에 비해 볼 것이 많지 않습니다. 근위병 교대식은 보는 것이 재미 있고 무슨 일이 일어나고 있는지에 대한 설명이 영어로 있습니다. 건물에 대한 정보가 영어로 되어 있지만 그다지 많지는 않습니다. 도시에 며칠만 있으면 갈 가치가 없지만 일주일 이상 머물 예정이라면 들러보세요.
10,일요일이었다 서울 시청 지역에 대한 빠른 탐험이 우리를 이 궁전에 착륙시켰습니다 우리는 주말에만 제공되는 궁전에 대한 좋은 설명을 제공하는 청소년 전문가들에 의해 무료 영어 투어를 받았습니다 주황색 옷을 입은 그들을 조심하십시오
11,매우 훌륭하고 역사적인 사원 서울을 방문할 때 꼭 들러야 할 볼거리와 산책하기 좋은 곳
12,경복궁의 교대식은 큰 경복궁에 비해 상당히 정교하고 자세하게 진행되어 아쉽게도 관람면적이 협소하여 경복궁 경내와 시청이 인접해 있어 모든 미인대회와 악기를 감상하기 어려웠다. 현대 건물과 전통적인 건물의 대조를 봅니다.
13,경복궁보다 작은 경험을 원한다면 이것은 작은 궁전이며 매우 예쁜 지역입니다.
14,"덕수궁은 일본 통치자들의 억압을 받고 있던 고종과 밀접한 관련이 있는 비교적 현대적인 왕궁으로, 이 궁은 창덕궁과 경복궁만큼 외국인 관광객들에게 인기가 없지만 이 덕수궁은 고상한 건물과 대지, 숲이 우거진 지역이 있습니다. 특히 시청을 가로질러 도심에 편리하게 위치해 있어 휴식과 반성을 위한 평화로운 오아시스 역할을 하기 때문에 방문할 가치가 있습니다. 왕궁 안에 있는 국립현대미술관도 방문할 수 있습니다. 왕실 근위병 교대식 소요 많은 방문객과 행인에게 인기있는 매우 화려하고 인기있는 의식인 대한문 앞 장소 지하철 정류장 1 2 호선 시청 정류장뿐만 아니라 많은 버스 정류장이 궁전 문과 가깝습니다"
15,이 궁전은 그 지역에서 화합물이 상대적으로 작은지 확인하기 위해 확실하므로 서울 중심부의 예쁜 정원과 멋진 장소에서 한 두 시간만 보내면 됩니다.
16,이것은 비교적 작은 공원이며 사진 기회를 위해 경비 교대 중에 여기에 오는 것이 좋습니다. 지역을 산책하고 단일 위치에서 전통 및 현대 건축물을 모두 볼 수있는 멋지고 편안한 장소입니다.
17,"cbd 지역에 매우 편리하고 주요 호텔 중 일부에서 짧은 도보 거리에 장소가 어떻게 생겼는지, 장소가 어떻게 사용되었는지에 대한 느낌을 줄 정보와 간판이 부족합니다. 서양의 일부는 방문할 가치가 있는 잔인한 추악한 스타일을 읽지만 30분이면 충분할 것입니다."
18,궁전은 서울의 중심부에 위치하고 있습니다. 바쁜 도시 지역에서 좋은 휴식을 취하고 근위병 교대식에 참석하십시오.
19,나는 경복궁과 같은 큰 궁전보다 사람이 적고 아기와 함께 여행하기 때문에 더 편안하기 때문에 작은 궁전에서 수호식을보기로 선택했습니다. 예상보다 예식이 좋았습니다. 나는 키가 크지 않습니다. 그들은 외국인에게 징을 치라고 요청하고 의식 중에 한복을 입으라고 요청했습니다. 그들은 또한 의식 장소 근처에서 무료로 입을 한복이었습니다. 무료로 입을 수 있지만 모든 관광객이 허용되는 것은 아닙니다. 키가 얼마나되는지 볼 수 있습니다. 그래서 그들의 한복은 한복을 입고 있지 않습니다.
20,오전 11시경에 근위병 교대식이 있습니다. 그만한 가치가 있습니다. 궁전 부지는 특히 고층 빌딩으로 둘러싸인 정원에서 사진을 찍을 수 있는 많은 멋진 지역이 있어 아름답습니다. 도시
21,"나는 2015년 11월에 좋은 날씨에 서울에 다녀왔습니다. 비록 흐리고 가끔 비가 내리지만 매우 즐겁습니다. 비에 젖는 것이 두렵다면 우산을 가지고 가세요. 이 고궁은 서울에 위치하고 있습니다. 시청역 지하철과 가깝습니다. 조선시대 궁전 내부에 들어서면 매우 기분이 좋을 것입니다. 대부분의 지역이 농장으로 둘러싸여 있으며 가을철에는 다양한 단풍나무 그늘이 시청자를 즐겁게 합니다. 자연을 사랑하는 사람들은 분명히 이곳을 좋아할 것입니다. 매우 큰 복합 건물에 여러 유형의 15세기 건물이 있습니다. 16세기 사람들은 역사적인 장소를 방문하기를 좋아합니다. 매력 이 곳은 세심한 주의와 세부 사항을 위해 방문할 가치가 있습니다. 궁전의 개장과 폐쇄를 고려할 때 충분한 시간이 있어야 합니다. 박물관 지하 1, 2층 내부이며 관람은 덕수궁 홈페이지를 통한 사전 예약 필수"
22,이것은 좋은 곳이지만 도시에 더 큰 궁전이 있습니다 1000 원 매우 합리적인 입장료 여기에서 명동 지역까지 산책하기에 좋습니다
23,부모님과 나는 화창한 날이 중형 궁전을 방문했으며 잠시 후 지루하지만 입구에서 경비원과 사진을 찍을 수 있으며 경비원이있는 경우 경비원 교대식을 보았습니다. 런던 타워의 뻣뻣한 로얄 가드와 달리이 장소는 건축 사진과 야외 활동을 즐기는 당신을위한 곳입니다. 구내에는 카페와 휴식 공간이 있지만 바로 바깥에 던킨 도넛을 포함한 더 많은 식당이 있습니다. 입구는 입구를 향한 자리를 찾을 수 있으며 근위병 교대식이 시작되면 도넛을 씹는 동안 전체 의식을 즐길 수 있지만 관광객들이 시야를 차단할 가능성이 있습니다. 또한 내부의 또 다른 역사적인 건물이지만 전자는 약간 지루하고 후자는 사전에 예약해야 하는 특정 시간에만 가이드 투어를 허용합니다. 그룹 크기 제한 사용
24,이모와 나는 우연히이 작은 장소에 왔습니다 우리는 실제로 다른 궁전으로 지하철을 타려고했습니다이 궁전에 대한 흥미로운 점은 그 유적이 항상 콘서트 나 시장 등이있는 서울 시청 건너편에 있다는 것입니다 궁전 자체를 걸을 때 진행되는 것은 나무와 녹음의 길 바로 너머에 있습니다. 궁전 자체의 디자인은 모든 궁전에서 볼 수 있는 것입니다. 분수가 있는 작은 연못으로 궁전과 분리되어 있는 미술관을 마주하게 됩니다. 궁전 벽 너머의 거리와 도시의 번잡함과 번잡함은 모두 사라지지만 이 작은 공간에서 옛 것의 두 가지 대조가 새로운 것을 만나는 것은 미친 짓입니다. 지역
25,시청역 1번 출구 구역에 위치 입장료 성인 1인 요금 1000원 ; 궁전 자체는 서울 국립 박물관 건물과 결합되어 현재 한국 왕을 위한 전시 장소를 서양식 거주 스타일로 변형시킵니다. 메인 로비 홀과 같은 복잡한 우아한 객실 디스플레이가 많이 있습니다. 침실; 도서관 안내 안내 서비스를 위한 식당 등 단체관람은 서신을 하셔야 합니다 개별 오디오 등록 카운터에서 제공되는 다양한 언어
26,"공원과 궁전, 그리고 꽃과 나무로 둘러싸인 지역에서 가을의 변화하는 모습을 보는 것은 환영할만한 경험입니다. 방문할 아름다운 곳 중 하나는 덕수궁입니다. 나뭇잎을 타고 사방을 산책하고 차가운 바람과 아늑한 분위기를 느끼고 실망하지 않았습니다. 우리는 우리가 온 것을 얻었습니다. 우리는 심지어 땅에 떨어진 낙엽을 가지고 놀고 많은 사진을 찍었습니다. 매우 제한된 시간 동안이라도 한복을 무료로 착용하십시오. 우리는 다른 궁전에서 그들을 보았 기 때문에 더 이상 보지 않은 일반적인 근위병 의식이있었습니다. 밖에서 몇 시간 동안 산책 한 후 먹고 쉴 수있는 레스토랑이 있습니다. 궁전"
27,아름다운 땅은 당신이 그 지역에 있다면 방문할만한 가치가있는 매우 즐거운 시간을 보냈습니다.
28,이 지역을 산책하고 관광하다가 갑자기 궁전이 나온다 그건 그렇고 나는 혼자 있었고 입구의 출구 쪽을 헤매다가 결국 궁전 안으로 들어갔다.그래서 혼자라면 윙크 윙크 입장료가 있는지 확실하지 않지만 자유롭게 방황하고 입구 쪽을 탐험하십시오.
29,"도시 한가운데에 이러한 역사적, 문화적 장소를 발견하는 것이 좋습니다. 장소의 역사를 볼 수 있고 궁전 지역 내부에 박물관을 찾을 수 있습니다. 또한 전망과 비하인드 스토리로 인해 유명한 궁전 외부의 작은 통로가 있습니다. 그것"
30,여기 내 리뷰에 대한 완전한 링크가 있습니다 ii 덕수궁은 유덕한 장수의 궁전을 의미합니다. 다른 네 궁에 가본 적이 있다면 실제로 조선 왕조 동안 한국의 4대 궁궐 중 하나입니다 \xe2\x80\x93 경복궁 창덕궁과 창경궁 똑같아 보일 수 있기 때문에 더 이상 이곳을 방문할 필요가 없다고 생각합니다. 하지만 사실은 아닙니다. 제가 이 지역에 들어갔을 때 저는 우리가 방금 점심을 먹은 이후로 유럽식 구조의 박물관 옆에 한국 전통 궁이 얼마나 완벽하게 세워져 있는지 놀랐습니다. 우리가 kto 본사에서 궁전까지 방금 걸어온 지역이지만 여기에 오는 가장 빠르고 쉬운 방법은 지하철을 이용하는 것입니다. 시청 2번 출구에서 내려야 합니다.
31,경복궁과 창덕궁을 방문한 후 덕수궁을 방문하는 시간을 가졌습니다. 이 궁의 역사는 다른 곳에서 광범위하게 다루어지며 필요한 모든 실용적인 정보는 우수한 kto 페이지 httpenglishvisitkoreaorkrenusisi_en_3_1_1_1jspcid264316에 있습니다. 종묘 이것은 처음 두 개의 훨씬 더 큰 궁전에서 역사 수업을 마친 후 10000 원의 훌륭한 가치였습니다. 궁전은 가이드 북의 메모와 함께 독립적으로 돌아 다닐 수있을만큼 작기 때문에 투어에 참여하지 않았습니다. 많은 좌석이있는 쾌적한 정원에 위치하고 있습니다 소풍을 가져오거나 주변에서 쇼핑을 했다면 지친 발을 쉴 수 있도록 여기저기 흩어져 있지만 이 궁전에서 근위병 교대식이 있고 국립현대미술관이 같은 건물에 있습니다. 궁은 경복궁과 창덕궁만큼 크지 않다. 나는 쇼핑 지역의 중심에 바로 위치한 편리한 위치 때문에 별 5개를 주었습니다.
32,행사가 자주 열리는 시청 광장 바로 건너편에 있는 이 작은 궁전은 꼭 방문해야 하는 곳입니다. 공원 내부는 아름답고 주변 산책은 바쁜 도시에서 벗어나 성문 밖에서 휴식을 취할 수 있는 곳입니다. 또한 잡기위한 여분의 대접 인 경비 의식 변경
33,경찰의 존재를 설명할 수 있는 시청 근처에 위치한 한국의 왕궁 중 하나는 오전 11시와 오후 2시에 경호원 교대식을 합니다. 한국어와 영어로 된 주석을 통해 무슨 일이 일어나고 있는지 이해할 수 있도록 정문 밖에서 일어나고 있기 때문에 1000 원의 입장료를 지불 할 필요가 없지만 내부는 평화 롭고 광대 한 복합 주택 사원 가옥이기 때문에 입장료를 절약하지 마십시오. 유럽이나 워싱턴 DC에서 어울리지 않는 두 개의 서양식 건물을 포함한 왕실 건물 여러 개의 화살을 발사하는 고대 포병의 복제품과 종 모양의 물시계도 있습니다. 붐비는
34,유서 깊은 건물 옆에 오후 300시경에 조직될 수 있는 전통적인 군인의 근위병 교대식을 보고 싶다면 시간을 주의하세요. 궁궐을 둘러싸고 있는 아몬드 나무 가을 단풍 이맘때 궁궐의 가장 아름다운 시절을 동경했던 거리 돌담길 궁궐 주변과 정동교회도 가볼만하다 입장료가 너무 저렴하다 그냥 us1
35,이것은 오후 3시에 전통적인 군인들과 함께 경비원 교대식을 보기 위해 완벽하게 시간을 맞춘 서울의 첫 번째 정류장이었습니다. 시청 바로 맞은편에는 당시 대규모 진압 경찰이 있었던 한국식 시위가 있었기 때문에 볼 수 있었습니다. 이 15분 행사를 보는 동안 1000명의 진압 경찰이 우리를 위한 멋진 첫눈에 반하고 궁전 내부는 매우 기이합니다. 내부에는 서양식 건물이 있어서 이곳을 서양식과 한국식의 매우 흥미로운 혼합으로 만드는 데 들어가는 비용은 1000원입니다. 이 지역은 확실히 볼 가치가 있지만 이상적으로는 다른 본궁에서 볼 수 있지만 야외 남대문 시장과 남문까지 도보 거리에 있으므로 이상적으로이 방문과 결합하는 것이 이상적입니다.
36,덕수궁은 시청 건너편에 있으며 경비교대 중 방문하지 않을 때 매우 조용한 명소입니다 비용은 단 1000원이며 입장료가 충분한 경내에 작은 갤러리가 위치하여 산책하기에 좋은 휴식 공간입니다
37,서울에는 많은 궁이 있고 오랜 시간을 보내지 않는 한 모든 것을 방문하는 것이 불가능하므로 나는 2를 선택했습니다. 나는 화려한 근위병 교대식을 가질 것이라고 생각했고 덕수궁은 큰길에 위치해 있어 실망하지 않았습니다. 세종시청과 서울공원 바로 건너편에 있는 1호선 녹색선 또는 2호선 짙은 청색선을 타고 시청 정류장에서 하차하면 역에서 2번 또는 3번 출구로 나와 개찰구를 찾고 엘리베이터를 통해 경비원 교체 시간을 확인하는 궁전 바로 앞에서 거리 수준에서 하차하지만 1100 200 및 330에 나열되어 있습니다. 다른 명소를 위해 그 지역에 여러 번 있었고 행렬이 돌과 벽돌 골목에서 궁전의 왼쪽으로 들어갈 때 항상 입구의 왼쪽에 더 많이 위치하는 것처럼 보였습니다. 동맹 당신이 사진을 찍고 싶다면 나는 내 ipad로 행사를 비디오로 찍었고 사진은 훌륭했습니다. 이것은 서울을 방문할 때 꼭 필요한 것입니다. 집에 있는 친구와 가족은 매일 볼 수 있는 것이 아니라 감사할 것입니다. 궁전의 부지는 넓고 넓습니다. 깨끗하지만 우리가 박물관을 방문한 날은 황량해 보였고 다른 건물은 개조 공사를 위해 문을 닫았고 경내에는 사람이 거의 없었습니다. 따뜻한 날이면 그늘을 제공하는 많은 나무가 있고 뒤쪽으로 찻집이 있고 외부에 테이블과 의자가있는 찻집이있었습니다. 그냥 평화롭게 앉아서 한국 왕족의 모든 역사와 문화를 둘러볼 수 있습니다. 조경된 부지가 경복궁만큼 아름답지는 않았지만 볼 수 있는 많은 건물이 있습니다.
38,아내와 나는 추운 어느 추운 오후에 덕수궁을 방문했습니다. 명동에있는 우리 호텔에서 도보 거리에 있었지만 나중에 한 정거장 거리에 있다는 것을 알았지만 궁전은 아마도 서울에서 가장 작거나 작은 것 중 하나 일 것입니다. 그러나 우리는 그것을 찾았습니다. 낭만적인 경내는 매우 넓고 나무가 가득했고 건축은 다른 궁궐과 마찬가지로 다채로웠으며 몇 개의 궁궐 건물과 근위병 교대식을 제외하고는 솔직히 볼 것이 별로 없었지만 궁궐 부지 안에는 박물관이 있습니다. 추운 날씨에서 흥미로운 관찰과 휴식이 있습니다. 또한 우리가 그 산책 동안 완전히 즐겼던 궁전 외벽 주위의 멋진 산책이 있습니다. 방문 시간을 정하면 극장에 위치한 유기농 레스토랑에서 환상적인 점심을 먹었습니다. 궁전 잘 당신은 레스토랑과 극장 쇼에서 늦은 점심 식사로이 산책을 따라갈 수 있으므로 덕수궁은 그 자체로 괜찮지 만 위대하고 편리하게 일부로 적합합니다. 지역의 도보 그것을 할
